Name,JIF,Category,Keywords,Publisher
International Journal of Innovation Science,3.0,BUSINESS|Q2|135/302,"['International', 'Journal', 'Innovation', 'Science', 'BUSINESS|Q2|135/302']",Elsevier
Journal of Global Responsibility,3.0,MANAGEMENT|Q2|177/401,"['Journal', 'Global', 'Responsibility', 'MANAGEMENT|Q2|177/401']",Emerald
Molecular Omics,3.0,BIOCHEMISTRY & MOLECULAR BIOLOGY|Q3|171/313,"['Molecular', 'Omics', 'BIOCHEMISTRY', 'MOLECULAR', 'BIOLOGY|Q3|171/313']",Springer
Antibodies,3.0,IMMUNOLOGY|Q3|105/181,"['Antibodies', 'IMMUNOLOGY|Q3|105/181']",Taylor & Francis
International Journal of Environmental Science and Technology,3.0,ENVIRONMENTAL SCIENCES|Q2|169/358,"['International', 'Journal', 'Environmental', 'Science', 'Technology', 'ENVIRONMENTAL', 'SCIENCES|Q2|169/358']",Springer
USER MODELING AND USER-ADAPTED INTERACTION,3.0,"COMPUTER SCIENCE, CYBERNETICS|Q2|10/32","['USER', 'MODELING', 'USER-ADAPTED', 'INTERACTION', 'COMPUTER', 'SCIENCE', 'CYBERNETICS|Q2|10/32']",Springer
AgriEngineering,3.0,AGRICULTURAL ENGINEERING|Q2|7/20,"['AgriEngineering', 'AGRICULTURAL', 'ENGINEERING|Q2|7/20']",Mdpi
SOLID STATE IONICS,3.0,"PHYSICS, CONDENSED MATTER|Q2|33/79","['SOLID', 'STATE', 'IONICS', 'PHYSICS', 'CONDENSED', 'MATTER|Q2|33/79']",Elsevier
Therapeutic Advances in Gastrointestinal Endoscopy,3.0,GASTROENTEROLOGY & HEPATOLOGY|Q2|54/143,"['Therapeutic', 'Advances', 'Gastrointestinal', 'Endoscopy', 'GASTROENTEROLOGY', 'HEPATOLOGY|Q2|54/143']",Sage Publications
BioNanoScience,3.0,"MATERIALS SCIENCE, BIOMATERIALS|Q3|38/53","['BioNanoScience', 'MATERIALS', 'SCIENCE', 'BIOMATERIALS|Q3|38/53']",Springer
ADSORPTION-JOURNAL OF THE INTERNATIONAL ADSORPTION SOCIETY,3.0,"ENGINEERING, CHEMICAL|Q2|74/170","['ADSORPTION-JOURNAL', 'INTERNATIONAL', 'ADSORPTION', 'SOCIETY', 'ENGINEERING', 'CHEMICAL|Q2|74/170']",Springer
Environmental Engineering Research,3.0,ENVIRONMENTAL SCIENCES|Q2|169/358,"['Environmental', 'Engineering', 'Research', 'ENVIRONMENTAL', 'SCIENCES|Q2|169/358']",Taylor & Francis
Energies,3.0,ENERGY & FUELS|Q3|107/170,"['Energies', 'ENERGY', 'FUELS|Q3|107/170']",Mdpi
Journal of Composites Science,3.0,"MATERIALS SCIENCE, COMPOSITES|Q2|17/35","['Journal', 'Composites', 'Science', 'MATERIALS', 'SCIENCE', 'COMPOSITES|Q2|17/35']",Mdpi
Computational and Theoretical Chemistry,3.0,"CHEMISTRY, PHYSICAL|Q3|94/178","['Computational', 'Theoretical', 'Chemistry', 'CHEMISTRY', 'PHYSICAL|Q3|94/178']",Elsevier
CURRENT OPINION IN CLINICAL NUTRITION AND METABOLIC CARE,3.0,NUTRITION & DIETETICS|Q2|54/114,"['CURRENT', 'OPINION', 'CLINICAL', 'NUTRITION', 'METABOLIC', 'CARE', 'NUTRITION', 'DIETETICS|Q2|54/114']",Elsevier
Digital Chemical Engineering,3.0,"ENGINEERING, CHEMICAL|Q2|74/170","['Digital', 'Chemical', 'Engineering', 'ENGINEERING', 'CHEMICAL|Q2|74/170']",Elsevier
International Journal of Biomaterials,3.0,"MATERIALS SCIENCE, BIOMATERIALS|Q3|38/53","['International', 'Journal', 'Biomaterials', 'MATERIALS', 'SCIENCE', 'BIOMATERIALS|Q3|38/53']",Taylor & Francis
ZEITSCHRIFT FUR PHYSIKALISCHE CHEMIE-INTERNATIONAL JOURNAL OF RESEARCH IN PHYSICAL CHEMISTRY & CHEMICAL PHYSICS,3.0,"CHEMISTRY, PHYSICAL|Q3|94/178","['ZEITSCHRIFT', 'FUR', 'PHYSIKALISCHE', 'CHEMIE-INTERNATIONAL', 'JOURNAL', 'RESEARCH', 'PHYSICAL', 'CHEMISTRY', 'CHEMICAL', 'PHYSICS', 'CHEMISTRY', 'PHYSICAL|Q3|94/178']",Wiley
CURRENT DRUG TARGETS,3.0,PHARMACOLOGY & PHARMACY|Q2|136/354,"['CURRENT', 'DRUG', 'TARGETS', 'PHARMACOLOGY', 'PHARMACY|Q2|136/354']",Bentham Science Publishers
Journal of Environmental Health Science and Engineering,3.0,ENVIRONMENTAL SCIENCES|Q2|169/358,"['Journal', 'Environmental', 'Health', 'Science', 'Engineering', 'ENVIRONMENTAL', 'SCIENCES|Q2|169/358']",Biomed Central
Analytical Science Advances,3.0,"CHEMISTRY, ANALYTICAL|Q2|41/106","['Analytical', 'Science', 'Advances', 'CHEMISTRY', 'ANALYTICAL|Q2|41/106']",Elsevier
REVIEWS ON ENVIRONMENTAL HEALTH,3.0,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH|Q2|114/403","['REVIEWS', 'ENVIRONMENTAL', 'HEALTH', 'PUBLIC', 'ENVIRONMENTAL', 'OCCUPATIONAL', 'HEALTH|Q2|114/403']",Taylor & Francis
SEMINARS IN ONCOLOGY,3.0,ONCOLOGY|Q2|142/322,"['SEMINARS', 'ONCOLOGY', 'ONCOLOGY|Q2|142/322']",Elsevier
ChemPhotoChem,3.0,"CHEMISTRY, PHYSICAL|Q3|94/178","['ChemPhotoChem', 'CHEMISTRY', 'PHYSICAL|Q3|94/178']",Wiley
ChemPlusChem,3.0,"CHEMISTRY, MULTIDISCIPLINARY|Q2|100/230","['ChemPlusChem', 'CHEMISTRY', 'MULTIDISCIPLINARY|Q2|100/230']",Wiley
Current Opinion in Allergy and Clinical Immunology,3.0,IMMUNOLOGY|Q3|105/181,"['Current', 'Opinion', 'Allergy', 'Clinical', 'Immunology', 'IMMUNOLOGY|Q3|105/181']",Elsevier
CRITICAL REVIEWS IN THERAPEUTIC DRUG CARRIER SYSTEMS,3.0,PHARMACOLOGY & PHARMACY|Q2|136/354,"['CRITICAL', 'REVIEWS', 'THERAPEUTIC', 'DRUG', 'CARRIER', 'SYSTEMS', 'PHARMACOLOGY', 'PHARMACY|Q2|136/354']",Taylor & Francis
Environmental Sustainability,3.0,ENVIRONMENTAL SCIENCES|Q2|169/358,"['Environmental', 'Sustainability', 'ENVIRONMENTAL', 'SCIENCES|Q2|169/358']",Mdpi
Remediation-The Journal of Environmental Cleanup Costs Technologies & Techniques,3.0,"ENGINEERING, ENVIRONMENTAL|Q3|48/81","['Remediation-The', 'Journal', 'Environmental', 'Cleanup', 'Costs', 'Technologies', 'Techniques', 'ENGINEERING', 'ENVIRONMENTAL|Q3|48/81']",Wiley
International Journal of Reconfigurable Computing,3.0,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE|Q2|20/59","['International', 'Journal', 'Reconfigurable', 'Computing', 'COMPUTER', 'SCIENCE', 'HARDWARE', 'ARCHITECTURE|Q2|20/59']",Hindawi
Hague Journal on the Rule of Law,2.9,LAW|Q1|12/421,"['Hague', 'Journal', 'Rule', 'Law', 'LAW|Q1|12/421']",Springer
SOCIAL STUDIES OF SCIENCE,2.9,HISTORY & PHILOSOPHY OF SCIENCE|Q1|7/104,"['SOCIAL', 'STUDIES', 'SCIENCE', 'HISTORY', 'PHILOSOPHY', 'SCIENCE|Q1|7/104']",Sage Publications
Applied Mathematics Letters,2.9,"MATHEMATICS, APPLIED|Q1|20/331","['Applied', 'Mathematics', 'Letters', 'MATHEMATICS', 'APPLIED|Q1|20/331']",Elsevier
Research in Developmental Disabilities,2.9,REHABILITATION|Q1|15/169,"['Research', 'Developmental', 'Disabilities', 'REHABILITATION|Q1|15/169']",Elsevier
SOCIAL NETWORKS,2.9,SOCIOLOGY|Q1|31/217,"['SOCIAL', 'NETWORKS', 'SOCIOLOGY|Q1|31/217']",Elsevier
Journal of Learning Analytics,2.9,EDUCATION & EDUCATIONAL RESEARCH|Q1|92/756,"['Journal', 'Learning', 'Analytics', 'EDUCATION', 'EDUCATIONAL', 'RESEARCH|Q1|92/756']",Taylor & Francis
GOVERNMENT AND OPPOSITION,2.9,POLITICAL SCIENCE|Q1|50/317,"['GOVERNMENT', 'OPPOSITION', 'POLITICAL', 'SCIENCE|Q1|50/317']",Sage Publications
COMPUTERS & MATHEMATICS WITH APPLICATIONS,2.9,"MATHEMATICS, APPLIED|Q1|20/331","['COMPUTERS', 'MATHEMATICS', 'APPLICATIONS', 'MATHEMATICS', 'APPLIED|Q1|20/331']",Elsevier
International Journal of Nursing Sciences,2.9,NURSING|Q1|18/191,"['International', 'Journal', 'Nursing', 'Sciences', 'NURSING|Q1|18/191']",Elsevier
Physical Education and Sport Pedagogy,2.9,EDUCATION & EDUCATIONAL RESEARCH|Q1|92/756,"['Physical', 'Education', 'Sport', 'Pedagogy', 'EDUCATION', 'EDUCATIONAL', 'RESEARCH|Q1|92/756']",Taylor & Francis
JOURNAL OF MEMORY AND LANGUAGE,2.9,"PSYCHOLOGY, EXPERIMENTAL|Q1|20/99","['JOURNAL', 'MEMORY', 'LANGUAGE', 'PSYCHOLOGY', 'EXPERIMENTAL|Q1|20/99']",Elsevier
Insect Science,2.9,ENTOMOLOGY|Q1|15/109,"['Insect', 'Science', 'ENTOMOLOGY|Q1|15/109']",Wiley
Clinical and Experimental Otorhinolaryngology,2.9,OTORHINOLARYNGOLOGY|Q1|4/65,"['Clinical', 'Experimental', 'Otorhinolaryngology', 'OTORHINOLARYNGOLOGY|Q1|4/65']",Wiley
PUBLIC OPINION QUARTERLY,2.9,"SOCIAL SCIENCES, INTERDISCIPLINARY|Q1|24/263","['PUBLIC', 'OPINION', 'QUARTERLY', 'SOCIAL', 'SCIENCES', 'INTERDISCIPLINARY|Q1|24/263']",University Of Chicago Press
International Environmental Agreements-Politics Law and Economics,2.9,POLITICAL SCIENCE|Q1|50/317,"['International', 'Environmental', 'Agreements-Politics', 'Law', 'Economics', 'POLITICAL', 'SCIENCE|Q1|50/317']",Taylor & Francis
JFR-Journal of Family Research,2.9,FAMILY STUDIES|Q1|8/66,"['JFR-Journal', 'Family', 'Research', 'FAMILY', 'STUDIES|Q1|8/66']",Springer
Police Quarterly,2.9,CRIMINOLOGY & PENOLOGY|Q1|10/113,"['Police', 'Quarterly', 'CRIMINOLOGY', 'PENOLOGY|Q1|10/113']",Wiley
NURSING ETHICS,2.9,NURSING|Q1|18/191,"['NURSING', 'ETHICS', 'NURSING|Q1|18/191']",Sage Publications
Current Reviews in Musculoskeletal Medicine,2.9,ORTHOPEDICS|Q1|22/136,"['Current', 'Reviews', 'Musculoskeletal', 'Medicine', 'ORTHOPEDICS|Q1|22/136']",Springer
EUROPEAN UNION POLITICS,2.9,POLITICAL SCIENCE|Q1|50/317,"['EUROPEAN', 'UNION', 'POLITICS', 'POLITICAL', 'SCIENCE|Q1|50/317']",Sage Publications
Archives of Academic Emergency Medicine,2.9,EMERGENCY MEDICINE|Q1|9/54,"['Archives', 'Academic', 'Emergency', 'Medicine', 'EMERGENCY', 'MEDICINE|Q1|9/54']",Elsevier
ARCHIVES OF SEXUAL BEHAVIOR,2.9,"SOCIAL SCIENCES, INTERDISCIPLINARY|Q1|24/263","['ARCHIVES', 'SEXUAL', 'BEHAVIOR', 'SOCIAL', 'SCIENCES', 'INTERDISCIPLINARY|Q1|24/263']",Springer
ILR Review,2.9,INDUSTRIAL RELATIONS & LABOR|Q1|12/49,"['ILR', 'Review', 'INDUSTRIAL', 'RELATIONS', 'LABOR|Q1|12/49']",Sage Publications
SCIENTIFIC STUDIES OF READING,2.9,"PSYCHOLOGY, EDUCATIONAL|Q2|21/74","['SCIENTIFIC', 'STUDIES', 'READING', 'PSYCHOLOGY', 'EDUCATIONAL|Q2|21/74']",Taylor & Francis
International Breastfeeding Journal,2.9,PEDIATRICS|Q1|29/186,"['International', 'Breastfeeding', 'Journal', 'PEDIATRICS|Q1|29/186']",Biomed Central
JOURNAL OF SHOULDER AND ELBOW SURGERY,2.9,SURGERY|Q1|49/290,"['JOURNAL', 'SHOULDER', 'ELBOW', 'SURGERY', 'SURGERY|Q1|49/290']",Elsevier
JOURNAL OF REFRACTIVE SURGERY,2.9,SURGERY|Q1|49/290,"['JOURNAL', 'REFRACTIVE', 'SURGERY', 'SURGERY|Q1|49/290']",Elsevier
JOURNAL OF VESTIBULAR RESEARCH-EQUILIBRIUM & ORIENTATION,2.9,OTORHINOLARYNGOLOGY|Q1|4/65,"['JOURNAL', 'VESTIBULAR', 'RESEARCH-EQUILIBRIUM', 'ORIENTATION', 'OTORHINOLARYNGOLOGY|Q1|4/65']",Ios Press
OBESITY SURGERY,2.9,SURGERY|Q1|49/290,"['OBESITY', 'SURGERY', 'SURGERY|Q1|49/290']",Springer
Food and Waterborne Parasitology,2.9,VETERINARY SCIENCES|Q1|14/167,"['Food', 'Waterborne', 'Parasitology', 'VETERINARY', 'SCIENCES|Q1|14/167']",Elsevier
Transfer-European Review of Labour and Research,2.9,INDUSTRIAL RELATIONS & LABOR|Q1|12/49,"['Transfer-European', 'Review', 'Labour', 'Research', 'INDUSTRIAL', 'RELATIONS', 'LABOR|Q1|12/49']",Sage Publications
JOURNAL OF THERMAL BIOLOGY,2.9,ZOOLOGY|Q1|11/180,"['JOURNAL', 'THERMAL', 'BIOLOGY', 'ZOOLOGY|Q1|11/180']",Elsevier
PATIENT EDUCATION AND COUNSELING,2.9,"SOCIAL SCIENCES, INTERDISCIPLINARY|Q1|24/263","['PATIENT', 'EDUCATION', 'COUNSELING', 'SOCIAL', 'SCIENCES', 'INTERDISCIPLINARY|Q1|24/263']",Elsevier
REVIEW OF HIGHER EDUCATION,2.9,EDUCATION & EDUCATIONAL RESEARCH|Q1|92/756,"['REVIEW', 'HIGHER', 'EDUCATION', 'EDUCATION', 'EDUCATIONAL', 'RESEARCH|Q1|92/756']",Johns Hopkins University Press
Public Policy and Administration,2.9,PUBLIC ADMINISTRATION|Q1|22/91,"['Public', 'Policy', 'Administration', 'PUBLIC', 'ADMINISTRATION|Q1|22/91']",Taylor & Francis
JOURNAL OF NEUROSURGERY-SPINE,2.9,SURGERY|Q1|49/290,"['JOURNAL', 'NEUROSURGERY-SPINE', 'SURGERY|Q1|49/290']",Lippincott Williams & Wilkins
Seminars in Fetal & Neonatal Medicine,2.9,PEDIATRICS|Q1|29/186,"['Seminars', 'Fetal', 'Neonatal', 'Medicine', 'PEDIATRICS|Q1|29/186']",Elsevier
ORAL DISEASES,2.9,"DENTISTRY, ORAL SURGERY & MEDICINE|Q1|30/157","['ORAL', 'DISEASES', 'DENTISTRY', 'ORAL', 'SURGERY', 'MEDICINE|Q1|30/157']",Wiley
CANADIAN PSYCHOLOGY-PSYCHOLOGIE CANADIENNE,2.9,"PSYCHOLOGY, MULTIDISCIPLINARY|Q1|46/218","['CANADIAN', 'PSYCHOLOGY-PSYCHOLOGIE', 'CANADIENNE', 'PSYCHOLOGY', 'MULTIDISCIPLINARY|Q1|46/218']",Canadian Psychological Association
CARIES RESEARCH,2.9,"DENTISTRY, ORAL SURGERY & MEDICINE|Q1|30/157","['CARIES', 'RESEARCH', 'DENTISTRY', 'ORAL', 'SURGERY', 'MEDICINE|Q1|30/157']",Karger
DENTOMAXILLOFACIAL RADIOLOGY,2.9,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING|Q2|60/204","['DENTOMAXILLOFACIAL', 'RADIOLOGY', 'RADIOLOGY', 'NUCLEAR', 'MEDICINE', 'MEDICAL', 'IMAGING|Q2|60/204']",Elsevier
ELECTORAL STUDIES,2.9,POLITICAL SCIENCE|Q1|50/317,"['ELECTORAL', 'STUDIES', 'POLITICAL', 'SCIENCE|Q1|50/317']",Elsevier
JOURNAL OF ETHNOBIOLOGY,2.9,BIOLOGY|Q2|28/109,"['JOURNAL', 'ETHNOBIOLOGY', 'BIOLOGY|Q2|28/109']",Society Of Ethnobiology
Econometrics Journal,2.9,STATISTICS & PROBABILITY|Q1|19/168,"['Econometrics', 'Journal', 'STATISTICS', 'PROBABILITY|Q1|19/168']",Wiley
Journal of Cybersecurity,2.9,"SOCIAL SCIENCES, INTERDISCIPLINARY|Q1|24/263","['Journal', 'Cybersecurity', 'SOCIAL', 'SCIENCES', 'INTERDISCIPLINARY|Q1|24/263']",Oxford University Press
Computers and Concrete,2.9,"MATERIALS SCIENCE, CHARACTERIZATION & TESTING|Q2|11/38","['Computers', 'Concrete', 'MATERIALS', 'SCIENCE', 'CHARACTERIZATION', 'TESTING|Q2|11/38']",Techno-Press
IEEE Transactions on Learning Technologies,2.9,EDUCATION & EDUCATIONAL RESEARCH|Q1|92/756,"['IEEE', 'Transactions', 'Learning', 'Technologies', 'EDUCATION', 'EDUCATIONAL', 'RESEARCH|Q1|92/756']",Ieee
INTERNATIONAL JOURNAL OF WILDLAND FIRE,2.9,FORESTRY|Q1|14/89,"['INTERNATIONAL', 'JOURNAL', 'WILDLAND', 'FIRE', 'FORESTRY|Q1|14/89']",Csiro Publishing
Journal of Multinational Financial Management,2.9,"BUSINESS, FINANCE|Q2|63/231","['Journal', 'Multinational', 'Financial', 'Management', 'BUSINESS', 'FINANCE|Q2|63/231']",Elsevier
URBAN GEOGRAPHY,2.9,URBAN STUDIES|Q1|15/77,"['URBAN', 'GEOGRAPHY', 'URBAN', 'STUDIES|Q1|15/77']",Taylor & Francis
Journal of Trauma and Acute Care Surgery,2.9,SURGERY|Q1|49/290,"['Journal', 'Trauma', 'Acute', 'Care', 'Surgery', 'SURGERY|Q1|49/290']",Lippincott Williams & Wilkins
PAIN MEDICINE,2.9,"MEDICINE, GENERAL & INTERNAL|Q1|64/325","['PAIN', 'MEDICINE', 'MEDICINE', 'GENERAL', 'INTERNAL|Q1|64/325']",Wiley
International Journal of Hospitality & Tourism Administration,2.9,"HOSPITALITY, LEISURE, SPORT & TOURISM|Q2|44/139","['International', 'Journal', 'Hospitality', 'Tourism', 'Administration', 'HOSPITALITY', 'LEISURE', 'SPORT', 'TOURISM|Q2|44/139']",Emerald
IUCrJ,2.9,"MATERIALS SCIENCE, MULTIDISCIPLINARY|Q3|220/438","['IUCrJ', 'MATERIALS', 'SCIENCE', 'MULTIDISCIPLINARY|Q3|220/438']",International Union Of Crystallography
JOURNAL OF DERMATOLOGICAL TREATMENT,2.9,DERMATOLOGY|Q2|30/94,"['JOURNAL', 'DERMATOLOGICAL', 'TREATMENT', 'DERMATOLOGY|Q2|30/94']",Wiley
JOURNAL OF DIGITAL IMAGING,2.9,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING|Q2|60/204","['JOURNAL', 'DIGITAL', 'IMAGING', 'RADIOLOGY', 'NUCLEAR', 'MEDICINE', 'MEDICAL', 'IMAGING|Q2|60/204']",Wiley
Topics in Cognitive Science,2.9,"PSYCHOLOGY, EXPERIMENTAL|Q1|20/99","['Topics', 'Cognitive', 'Science', 'PSYCHOLOGY', 'EXPERIMENTAL|Q1|20/99']",Mit Press
Journal of Ophthalmic Inflammation and Infection,2.9,OPHTHALMOLOGY|Q1|21/95,"['Journal', 'Ophthalmic', 'Inflammation', 'Infection', 'OPHTHALMOLOGY|Q1|21/95']",Taylor & Francis
Indian Journal of Anaesthesia,2.9,ANESTHESIOLOGY|Q1|14/64,"['Indian', 'Journal', 'Anaesthesia', 'ANESTHESIOLOGY|Q1|14/64']",Medknow
Journal of Asian Economics,2.9,ECONOMICS|Q1|123/597,"['Journal', 'Asian', 'Economics', 'ECONOMICS|Q1|123/597']",Elsevier
JOURNAL OF ENDOUROLOGY,2.9,UROLOGY & NEPHROLOGY|Q1|31/126,"['JOURNAL', 'ENDOUROLOGY', 'UROLOGY', 'NEPHROLOGY|Q1|31/126']",Lippincott Williams & Wilkins
PSYCHOMETRIKA,2.9,"SOCIAL SCIENCES, MATHEMATICAL METHODS|Q1|11/67","['PSYCHOMETRIKA', 'SOCIAL', 'SCIENCES', 'MATHEMATICAL', 'METHODS|Q1|11/67']",Springer
LITHOS,2.9,MINERALOGY|Q1|7/30,"['LITHOS', 'MINERALOGY|Q1|7/30']",Elsevier
PSYCHOPHYSIOLOGY,2.9,"PSYCHOLOGY, EXPERIMENTAL|Q1|20/99","['PSYCHOPHYSIOLOGY', 'PSYCHOLOGY', 'EXPERIMENTAL|Q1|20/99']",Wiley
QUARTERLY REVIEW OF ECONOMICS AND FINANCE,2.9,ECONOMICS|Q1|123/597,"['QUARTERLY', 'REVIEW', 'ECONOMICS', 'FINANCE', 'ECONOMICS|Q1|123/597']",Elsevier
China & World Economy,2.9,ECONOMICS|Q1|123/597,"['China', 'World', 'Economy', 'ECONOMICS|Q1|123/597']",World Scientific Publishing
ENVIRONMENT AND PLANNING D-SOCIETY & SPACE,2.9,GEOGRAPHY|Q1|28/171,"['ENVIRONMENT', 'PLANNING', 'D-SOCIETY', 'SPACE', 'GEOGRAPHY|Q1|28/171']",Taylor & Francis
Colorectal Disease,2.9,SURGERY|Q1|49/290,"['Colorectal', 'Disease', 'SURGERY|Q1|49/290']",Wiley
Digital Health,2.9,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH|Q2|128/403","['Digital', 'Health', 'PUBLIC', 'ENVIRONMENTAL', 'OCCUPATIONAL', 'HEALTH|Q2|128/403']",Bmj Publishing Group
HEALTH POLICY AND PLANNING,2.9,HEALTH POLICY & SERVICES|Q2|36/118,"['HEALTH', 'POLICY', 'PLANNING', 'HEALTH', 'POLICY', 'SERVICES|Q2|36/118']",Oxford University Press
Hematology-American Society of Hematology Education Program,2.9,HEMATOLOGY|Q2|34/97,"['Hematology-American', 'Society', 'Hematology', 'Education', 'Program', 'HEMATOLOGY|Q2|34/97']",Elsevier
Research on Child and Adolescent Psychopathology,2.9,"PSYCHOLOGY, DEVELOPMENTAL|Q2|28/91","['Research', 'Child', 'Adolescent', 'Psychopathology', 'PSYCHOLOGY', 'DEVELOPMENTAL|Q2|28/91']",Wiley
Biomedical Optics Express,2.9,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING|Q2|60/204","['Biomedical', 'Optics', 'Express', 'RADIOLOGY', 'NUCLEAR', 'MEDICINE', 'MEDICAL', 'IMAGING|Q2|60/204']",Optica Publishing Group
CANADIAN ASSOCIATION OF RADIOLOGISTS JOURNAL-JOURNAL DE L ASSOCIATION CANADIENNE DES RADIOLOGISTES,2.9,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING|Q2|60/204","['CANADIAN', 'ASSOCIATION', 'RADIOLOGISTS', 'JOURNAL-JOURNAL', 'DE', 'L', 'ASSOCIATION', 'CANADIENNE', 'DES', 'RADIOLOGISTES', 'RADIOLOGY', 'NUCLEAR', 'MEDICINE', 'MEDICAL', 'IMAGING|Q2|60/204']",Elsevier
CLINICS IN PERINATOLOGY,2.9,PEDIATRICS|Q1|29/186,"['CLINICS', 'PERINATOLOGY', 'PEDIATRICS|Q1|29/186']",Elsevier
JOURNAL OF MEDICAL ECONOMICS,2.9,"MEDICINE, GENERAL & INTERNAL|Q1|64/325","['JOURNAL', 'MEDICAL', 'ECONOMICS', 'MEDICINE', 'GENERAL', 'INTERNAL|Q1|64/325']",Elsevier
Performance Enhancement & Health,2.9,SUBSTANCE ABUSE|Q2|20/55,"['Performance', 'Enhancement', 'Health', 'SUBSTANCE', 'ABUSE|Q2|20/55']",Human Kinetics
PATHOLOGY RESEARCH AND PRACTICE,2.9,PATHOLOGY|Q2|28/88,"['PATHOLOGY', 'RESEARCH', 'PRACTICE', 'PATHOLOGY|Q2|28/88']",Elsevier
PSYCHOSOMATIC MEDICINE,2.9,"PSYCHOLOGY, MULTIDISCIPLINARY|Q1|46/218","['PSYCHOSOMATIC', 'MEDICINE', 'PSYCHOLOGY', 'MULTIDISCIPLINARY|Q1|46/218']",Elsevier
Journal of Contemporary Accounting & Economics,2.9,ECONOMICS|Q1|123/597,"['Journal', 'Contemporary', 'Accounting', 'Economics', 'ECONOMICS|Q1|123/597']",Elsevier
Multiple Sclerosis and Related Disorders,2.9,CLINICAL NEUROLOGY|Q2|99/277,"['Multiple', 'Sclerosis', 'Related', 'Disorders', 'CLINICAL', 'NEUROLOGY|Q2|99/277']",Elsevier
CEREBRAL CORTEX,2.9,NEUROSCIENCES|Q2|143/310,"['CEREBRAL', 'CORTEX', 'NEUROSCIENCES|Q2|143/310']",Oxford University Press
JOURNAL OF APPLIED BEHAVIOR ANALYSIS,2.9,"PSYCHOLOGY, CLINICAL|Q1|43/180","['JOURNAL', 'APPLIED', 'BEHAVIOR', 'ANALYSIS', 'PSYCHOLOGY', 'CLINICAL|Q1|43/180']",Wiley
JOURNAL OF POLITICAL PHILOSOPHY,2.9,POLITICAL SCIENCE|Q1|50/317,"['JOURNAL', 'POLITICAL', 'PHILOSOPHY', 'POLITICAL', 'SCIENCE|Q1|50/317']",Wiley
COGNITIVE AND BEHAVIORAL PRACTICE,2.9,"PSYCHOLOGY, CLINICAL|Q1|43/180","['COGNITIVE', 'BEHAVIORAL', 'PRACTICE', 'PSYCHOLOGY', 'CLINICAL|Q1|43/180']",Guilford Publications
Journal of Agricultural Education & Extension,2.9,ENVIRONMENTAL STUDIES|Q2|80/182,"['Journal', 'Agricultural', 'Education', 'Extension', 'ENVIRONMENTAL', 'STUDIES|Q2|80/182']",Taylor & Francis
PEDIATRIC INFECTIOUS DISEASE JOURNAL,2.9,PEDIATRICS|Q1|29/186,"['PEDIATRIC', 'INFECTIOUS', 'DISEASE', 'JOURNAL', 'PEDIATRICS|Q1|29/186']",Lippincott Williams & Wilkins
TOXICOLOGY LETTERS,2.9,TOXICOLOGY|Q2|49/106,"['TOXICOLOGY', 'LETTERS', 'TOXICOLOGY|Q2|49/106']",Elsevier
Kidney Research and Clinical Practice,2.9,UROLOGY & NEPHROLOGY|Q1|31/126,"['Kidney', 'Research', 'Clinical', 'Practice', 'UROLOGY', 'NEPHROLOGY|Q1|31/126']",Elsevier
Royal Society Open Science,2.9,MULTIDISCIPLINARY SCIENCES|Q1|31/134,"['Royal', 'Society', 'Open', 'Science', 'MULTIDISCIPLINARY', 'SCIENCES|Q1|31/134']",Royal Society
BMC MEDICAL IMAGING,2.9,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING|Q2|60/204","['BMC', 'MEDICAL', 'IMAGING', 'RADIOLOGY', 'NUCLEAR', 'MEDICINE', 'MEDICAL', 'IMAGING|Q2|60/204']",Biomed Central
European Journal of Cardiovascular Nursing,2.9,NURSING|Q1|18/191,"['European', 'Journal', 'Cardiovascular', 'Nursing', 'NURSING|Q1|18/191']",Wiley
Fungal Biology,2.9,MYCOLOGY|Q2|12/33,"['Fungal', 'Biology', 'MYCOLOGY|Q2|12/33']",Elsevier
Journal of Ethnobiology and Ethnomedicine,2.9,PLANT SCIENCES|Q2|77/265,"['Journal', 'Ethnobiology', 'Ethnomedicine', 'PLANT', 'SCIENCES|Q2|77/265']",Biomed Central
PFLUGERS ARCHIV-EUROPEAN JOURNAL OF PHYSIOLOGY,2.9,PHYSIOLOGY|Q2|27/85,"['PFLUGERS', 'ARCHIV-EUROPEAN', 'JOURNAL', 'PHYSIOLOGY', 'PHYSIOLOGY|Q2|27/85']",Springer
HUMAN FACTORS,2.9,"PSYCHOLOGY, APPLIED|Q2|41/113","['HUMAN', 'FACTORS', 'PSYCHOLOGY', 'APPLIED|Q2|41/113']",Sage Publications
JOURNAL OF DERMATOLOGY,2.9,DERMATOLOGY|Q2|30/94,"['JOURNAL', 'DERMATOLOGY', 'DERMATOLOGY|Q2|30/94']",Wiley
