Name,JIF,Category,Keywords,Publisher,Decsion Time
TECHNOLOGY IN SOCIETY,10.1,"SOCIAL SCIENCES, INTERDISCIPLINARY|Q1|2/263","['TECHNOLOGY', 'SOCIETY', 'SOCIAL', 'SCIENCES', 'INTERDISCIPLINARY|Q1|2/263']",Elsevier,45
Engineering,10.1,"ENGINEERING, MULTIDISCIPLINARY|Q1|2/179","['Engineering', 'ENGINEERING', 'MULTIDISCIPLINARY|Q1|2/179']",Elsevier,30
GENOME BIOLOGY,10.1,GENETICS & HEREDITY|Q1|10/191,"['GENOME', 'BIOLOGY', 'GENETICS', 'HEREDITY|Q1|10/191']",Biomed Central,30
EDUCATIONAL PSYCHOLOGY REVIEW,10.1,"PSYCHOLOGY, EDUCATIONAL|Q1|2/74","['EDUCATIONAL', 'PSYCHOLOGY', 'REVIEW', 'PSYCHOLOGY', 'EDUCATIONAL|Q1|2/74']",Springer,45
ENVIRONMENTAL HEALTH PERSPECTIVES,10.1,TOXICOLOGY|Q1|3/106,"['ENVIRONMENTAL', 'HEALTH', 'PERSPECTIVES', 'TOXICOLOGY|Q1|3/106']",National Institute Of Environmental Health Sciences,30
Facta Universitatis-Series Mechanical Engineering,10.1,"ENGINEERING, MECHANICAL|Q1|3/180","['Facta', 'Universitatis-Series', 'Mechanical', 'Engineering', 'ENGINEERING', 'MECHANICAL|Q1|3/180']",University Of Nis,30
European Review of Social Psychology,10.1,"PSYCHOLOGY, SOCIAL|Q1|1/76","['European', 'Review', 'Social', 'Psychology', 'PSYCHOLOGY', 'SOCIAL|Q1|1/76']",Wiley,60
PLANT BIOTECHNOLOGY JOURNAL,10.1,PLANT SCIENCES|Q1|6/265,"['PLANT', 'BIOTECHNOLOGY', 'JOURNAL', 'PLANT', 'SCIENCES|Q1|6/265']",Wiley,30
AMERICAN JOURNAL OF HEMATOLOGY,10.1,HEMATOLOGY|Q1|8/97,"['AMERICAN', 'JOURNAL', 'HEMATOLOGY', 'HEMATOLOGY|Q1|8/97']",Wiley,14
JOURNAL OF PRODUCT INNOVATION MANAGEMENT,10.1,MANAGEMENT|Q1|11/401,"['JOURNAL', 'PRODUCT', 'INNOVATION', 'MANAGEMENT', 'MANAGEMENT|Q1|11/401']",Sage Publications,45
APPLIED ENERGY,10.1,"ENGINEERING, CHEMICAL|Q1|11/170","['APPLIED', 'ENERGY', 'ENGINEERING', 'CHEMICAL|Q1|11/170']",Elsevier,60
FEMS MICROBIOLOGY REVIEWS,10.1,MICROBIOLOGY|Q1|12/161,"['FEMS', 'MICROBIOLOGY', 'REVIEWS', 'MICROBIOLOGY|Q1|12/161']",Oxford University Press,30
Mycosphere,10.0,MYCOLOGY|Q1|3/33,"['Mycosphere', 'MYCOLOGY|Q1|3/33']",Mdpi,30
CLINICAL CANCER RESEARCH,10.0,ONCOLOGY|Q1|27/322,"['CLINICAL', 'CANCER', 'RESEARCH', 'ONCOLOGY|Q1|27/322']",American Association For Cancer Research,19
PLANT CELL,10.0,PLANT SCIENCES|Q1|7/265,"['PLANT', 'CELL', 'PLANT', 'SCIENCES|Q1|7/265']",American Society Of Plant Biologists,35
Materials Today Physics,10.0,"PHYSICS, APPLIED|Q1|16/179","['Materials', 'Today', 'Physics', 'PHYSICS', 'APPLIED|Q1|16/179']",Elsevier,30
FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,10.0,ENVIRONMENTAL SCIENCES|Q1|23/358,"['FRONTIERS', 'ECOLOGY', 'ENVIRONMENT', 'ENVIRONMENTAL', 'SCIENCES|Q1|23/358']",Wiley,35
Advanced Healthcare Materials,10.0,NANOSCIENCE & NANOTECHNOLOGY|Q1|22/140,"['Advanced', 'Healthcare', 'Materials', 'NANOSCIENCE', 'NANOTECHNOLOGY|Q1|22/140']",Wiley,30
Eurosurveillance,9.9,INFECTIOUS DISEASES|Q1|6/132,"['Eurosurveillance', 'INFECTIOUS', 'DISEASES|Q1|6/132']",European Centre For Disease Prevention And Control,21
International Journal of Hospitality Management,9.9,"HOSPITALITY, LEISURE, SPORT & TOURISM|Q1|4/139","['International', 'Journal', 'Hospitality', 'Management', 'HOSPITALITY', 'LEISURE', 'SPORT', 'TOURISM|Q1|4/139']",Elsevier,45
SUSTAINABLE DEVELOPMENT,9.9,REGIONAL & URBAN PLANNING|Q1|2/54,"['SUSTAINABLE', 'DEVELOPMENT', 'REGIONAL', 'URBAN', 'PLANNING|Q1|2/54']",Wiley,30
Journal of Econometrics,9.9,"SOCIAL SCIENCES, MATHEMATICAL METHODS|Q1|1/67","['Journal', 'Econometrics', 'SOCIAL', 'SCIENCES', 'MATHEMATICAL', 'METHODS|Q1|1/67']",Elsevier,60
JNCI-Journal of the National Cancer Institute,9.9,ONCOLOGY|Q1|28/322,"['JNCI-Journal', 'National', 'Cancer', 'Institute', 'ONCOLOGY|Q1|28/322']",Oxford University Press,30
ENERGY CONVERSION AND MANAGEMENT,9.9,THERMODYNAMICS|Q1|2/76,"['ENERGY', 'CONVERSION', 'MANAGEMENT', 'THERMODYNAMICS|Q1|2/76']",Elsevier,60
Advanced Industrial and Engineering Polymer Research,9.9,POLYMER SCIENCE|Q1|4/94,"['Advanced', 'Industrial', 'Engineering', 'Polymer', 'Research', 'POLYMER', 'SCIENCE|Q1|4/94']",Taylor & Francis,30
Family Business Review,9.9,BUSINESS|Q1|11/302,"['Family', 'Business', 'Review', 'BUSINESS|Q1|11/302']",Sage Publications,42
SOIL BIOLOGY & BIOCHEMISTRY,9.8,SOIL SCIENCE|Q1|2/49,"['SOIL', 'BIOLOGY', 'BIOCHEMISTRY', 'SOIL', 'SCIENCE|Q1|2/49']",Elsevier,29
Environmental Impact Assessment Review,9.8,ENVIRONMENTAL STUDIES|Q1|9/182,"['Environmental', 'Impact', 'Assessment', 'Review', 'ENVIRONMENTAL', 'STUDIES|Q1|9/182']",Elsevier,30
INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS,9.8,OPERATIONS RESEARCH & MANAGEMENT SCIENCE|Q1|3/106,"['INTERNATIONAL', 'JOURNAL', 'PRODUCTION', 'ECONOMICS', 'OPERATIONS', 'RESEARCH', 'MANAGEMENT', 'SCIENCE|Q1|3/106']",Elsevier,90
JOURNAL OF SERVICE RESEARCH,9.8,BUSINESS|Q1|12/302,"['JOURNAL', 'SERVICE', 'RESEARCH', 'BUSINESS|Q1|12/302']",Sage Publications,45
Laser & Photonics Reviews,9.8,"PHYSICS, CONDENSED MATTER|Q1|9/79","['Laser', 'Photonics', 'Reviews', 'PHYSICS', 'CONDENSED', 'MATTER|Q1|9/79']",Wiley,60
Global Food Security-Agriculture Policy Economics and Environment,9.8,FOOD SCIENCE & TECHNOLOGY|Q1|6/173,"['Global', 'Food', 'Security-Agriculture', 'Policy', 'Economics', 'Environment', 'FOOD', 'SCIENCE', 'TECHNOLOGY|Q1|6/173']",Elsevier,47
Annual Review of Political Science,9.7,POLITICAL SCIENCE|Q1|1/317,"['Annual', 'Review', 'Political', 'Science', 'POLITICAL', 'SCIENCE|Q1|1/317']",Annual Reviews,90
Journal of Physiotherapy,9.7,REHABILITATION|Q1|1/169,"['Journal', 'Physiotherapy', 'REHABILITATION|Q1|1/169']",Australian Physiotherapy Association,14
Journal of Sport and Health Science,9.7,SPORT SCIENCES|Q1|2/127,"['Journal', 'Sport', 'Health', 'Science', 'SPORT', 'SCIENCES|Q1|2/127']",Elsevier,45
EBioMedicine,9.7,"MEDICINE, RESEARCH & EXPERIMENTAL|Q1|12/189","['EBioMedicine', 'MEDICINE', 'RESEARCH', 'EXPERIMENTAL|Q1|12/189']",Elsevier,14
Radiologia Medica,9.7,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING|Q1|4/204","['Radiologia', 'Medica', 'RADIOLOGY', 'NUCLEAR', 'MEDICINE', 'MEDICAL', 'IMAGING|Q1|4/204']",Springer,30
BIORESOURCE TECHNOLOGY,9.7,ENERGY & FUELS|Q1|21/170,"['BIORESOURCE', 'TECHNOLOGY', 'ENERGY', 'FUELS|Q1|21/170']",Elsevier,20
Journal of Cleaner Production,9.7,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY|Q1|13/91,"['Journal', 'Cleaner', 'Production', 'GREEN', 'SUSTAINABLE', 'SCIENCE', 'TECHNOLOGY|Q1|13/91']",Elsevier,4
BIOCHIMICA ET BIOPHYSICA ACTA-REVIEWS ON CANCER,9.7,ONCOLOGY|Q1|29/322,"['BIOCHIMICA', 'ET', 'BIOPHYSICA', 'ACTA-REVIEWS', 'CANCER', 'ONCOLOGY|Q1|29/322']",Elsevier,60
ARCHIVES OF COMPUTATIONAL METHODS IN ENGINEERING,9.7,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS|Q1|2/135","['ARCHIVES', 'COMPUTATIONAL', 'METHODS', 'ENGINEERING', 'MATHEMATICS', 'INTERDISCIPLINARY', 'APPLICATIONS|Q1|2/135']",Springer,45
VIEW,9.7,NANOSCIENCE & NANOTECHNOLOGY|Q1|23/140,"['VIEW', 'NANOSCIENCE', 'NANOTECHNOLOGY|Q1|23/140']",Wiley,20
Educational Research Review,9.6,EDUCATION & EDUCATIONAL RESEARCH|Q1|2/756,"['Educational', 'Research', 'Review', 'EDUCATION', 'EDUCATIONAL', 'RESEARCH|Q1|2/756']",Elsevier,30
EClinicalMedicine,9.6,"MEDICINE, GENERAL & INTERNAL|Q1|12/325","['EClinicalMedicine', 'MEDICINE', 'GENERAL', 'INTERNAL|Q1|12/325']",Elsevier,14
MOLECULAR PSYCHIATRY,9.6,PSYCHIATRY|Q1|6/276,"['MOLECULAR', 'PSYCHIATRY', 'PSYCHIATRY|Q1|6/276']",Nature Publishing Group,30
Biological Psychiatry,9.6,PSYCHIATRY|Q1|6/276,"['Biological', 'Psychiatry', 'PSYCHIATRY|Q1|6/276']",Elsevier,14
IEEE Transactions on Affective Computing,9.6,"COMPUTER SCIENCE, CYBERNETICS|Q1|1/32","['IEEE', 'Transactions', 'Affective', 'Computing', 'COMPUTER', 'SCIENCE', 'CYBERNETICS|Q1|1/32']",Ieee,60
AMERICAN JOURNAL OF PUBLIC HEALTH,9.6,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH|Q1|11/403","['AMERICAN', 'JOURNAL', 'PUBLIC', 'HEALTH', 'PUBLIC', 'ENVIRONMENTAL', 'OCCUPATIONAL', 'HEALTH|Q1|11/403']",American Public Health Association,75
Journal of Research in Interactive Marketing,9.6,BUSINESS|Q1|13/302,"['Journal', 'Research', 'Interactive', 'Marketing', 'BUSINESS|Q1|13/302']",Elsevier,45
AUTOMATION IN CONSTRUCTION,9.6,"ENGINEERING, CIVIL|Q1|1/181","['AUTOMATION', 'CONSTRUCTION', 'ENGINEERING', 'CIVIL|Q1|1/181']",Elsevier,4
NANO LETTERS,9.6,"PHYSICS, CONDENSED MATTER|Q1|10/79","['NANO', 'LETTERS', 'PHYSICS', 'CONDENSED', 'MATTER|Q1|10/79']",Acs Publications,34
ACS Materials Letters,9.6,"MATERIALS SCIENCE, MULTIDISCIPLINARY|Q1|55/438","['ACS', 'Materials', 'Letters', 'MATERIALS', 'SCIENCE', 'MULTIDISCIPLINARY|Q1|55/438']",Acs Publications,15
CANCER TREATMENT REVIEWS,9.6,ONCOLOGY|Q1|30/322,"['CANCER', 'TREATMENT', 'REVIEWS', 'ONCOLOGY|Q1|30/322']",Elsevier,24
RARE METALS,9.6,METALLURGY & METALLURGICAL ENGINEERING|Q1|3/90,"['RARE', 'METALS', 'METALLURGY', 'METALLURGICAL', 'ENGINEERING|Q1|3/90']",Elsevier,45
Energy and AI,9.6,ENERGY & FUELS|Q1|22/170,"['Energy', 'AI', 'ENERGY', 'FUELS|Q1|22/170']",Elsevier,30
CLINICAL NUCLEAR MEDICINE,9.6,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING|Q1|5/204","['CLINICAL', 'NUCLEAR', 'MEDICINE', 'RADIOLOGY', 'NUCLEAR', 'MEDICINE', 'MEDICAL', 'IMAGING|Q1|5/204']",Society Of Nuclear Medicine And Molecular Imaging,14
Autism in Adulthood,9.5,REHABILITATION|Q1|2/169,"['Autism', 'Adulthood', 'REHABILITATION|Q1|2/169']",Springer,30
PERSOONIA,9.5,MYCOLOGY|Q1|4/33,"['PERSOONIA', 'MYCOLOGY|Q1|4/33']",Naturalis Biodiversity Center,30
ACADEMY OF MANAGEMENT JOURNAL,9.5,MANAGEMENT|Q1|12/401,"['ACADEMY', 'MANAGEMENT', 'JOURNAL', 'MANAGEMENT|Q1|12/401']",Academy Of Management,60
CHEST,9.5,RESPIRATORY SYSTEM|Q1|6/100,"['CHEST', 'RESPIRATORY', 'SYSTEM|Q1|6/100']",American College Of Chest Physicians,21
JOURNAL OF THE ACADEMY OF MARKETING SCIENCE,9.5,BUSINESS|Q1|14/302,"['JOURNAL', 'ACADEMY', 'MARKETING', 'SCIENCE', 'BUSINESS|Q1|14/302']",Springer,45
JHEP Reports,9.5,GASTROENTEROLOGY & HEPATOLOGY|Q1|12/143,"['JHEP', 'Reports', 'GASTROENTEROLOGY', 'HEPATOLOGY|Q1|12/143']",Elsevier,30
Journal of Family Business Strategy,9.5,MANAGEMENT|Q1|12/401,"['Journal', 'Family', 'Business', 'Strategy', 'MANAGEMENT|Q1|12/401']",Sage Publications,45
Current Obesity Reports,9.5,NUTRITION & DIETETICS|Q1|3/114,"['Current', 'Obesity', 'Reports', 'NUTRITION', 'DIETETICS|Q1|3/114']",Springer,30
JAMA Health Forum,9.5,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH|Q1|12/403","['JAMA', 'Health', 'Forum', 'PUBLIC', 'ENVIRONMENTAL', 'OCCUPATIONAL', 'HEALTH|Q1|12/403']",American Medical Association,31
EXPERIMENTAL AND MOLECULAR MEDICINE,9.5,"MEDICINE, RESEARCH & EXPERIMENTAL|Q1|13/189","['EXPERIMENTAL', 'MOLECULAR', 'MEDICINE', 'MEDICINE', 'RESEARCH', 'EXPERIMENTAL|Q1|13/189']",Springer,20
Biomarker Research,9.5,ONCOLOGY|Q1|31/322,"['Biomarker', 'Research', 'ONCOLOGY|Q1|31/322']",Biomed Central,30
Nano Research,9.5,"PHYSICS, APPLIED|Q1|19/179","['Nano', 'Research', 'PHYSICS', 'APPLIED|Q1|19/179']",Springer,22
TRANSPORT REVIEWS,9.5,TRANSPORTATION|Q1|3/57,"['TRANSPORT', 'REVIEWS', 'TRANSPORTATION|Q1|3/57']",Taylor & Francis,30
AMERICAN JOURNAL OF KIDNEY DISEASES,9.4,UROLOGY & NEPHROLOGY|Q1|7/126,"['AMERICAN', 'JOURNAL', 'KIDNEY', 'DISEASES', 'UROLOGY', 'NEPHROLOGY|Q1|7/126']",Elsevier,14
IEEE SIGNAL PROCESSING MAGAZINE,9.4,"ENGINEERING, ELECTRICAL & ELECTRONIC|Q1|12/352","['IEEE', 'SIGNAL', 'PROCESSING', 'MAGAZINE', 'ENGINEERING', 'ELECTRICAL', 'ELECTRONIC|Q1|12/352']",Ieee,30
Nature Cardiovascular Research,9.4,CARDIAC & CARDIOVASCULAR SYSTEMS|Q1|13/220,"['Nature', 'Cardiovascular', 'Research', 'CARDIAC', 'CARDIOVASCULAR', 'SYSTEMS|Q1|13/220']",Springer,30
JOURNAL OF APPLIED PSYCHOLOGY,9.4,"PSYCHOLOGY, APPLIED|Q1|3/113","['JOURNAL', 'APPLIED', 'PSYCHOLOGY', 'PSYCHOLOGY', 'APPLIED|Q1|3/113']",American Psychological Association,45
MONOGRAPHS OF THE SOCIETY FOR RESEARCH IN CHILD DEVELOPMENT,9.4,"PSYCHOLOGY, DEVELOPMENTAL|Q1|2/91","['MONOGRAPHS', 'SOCIETY', 'RESEARCH', 'CHILD', 'DEVELOPMENT', 'PSYCHOLOGY', 'DEVELOPMENTAL|Q1|2/91']",Wiley,60
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,9.4,MULTIDISCIPLINARY SCIENCES|Q1|13/134,"['PROCEEDINGS', 'NATIONAL', 'ACADEMY', 'SCIENCES', 'UNITED', 'STATES', 'AMERICA', 'MULTIDISCIPLINARY', 'SCIENCES|Q1|13/134']",National Academy Of Sciences,21
Journal of International Financial Management & Accounting,9.4,"BUSINESS, FINANCE|Q1|2/231","['Journal', 'International', 'Financial', 'Management', 'Accounting', 'BUSINESS', 'FINANCE|Q1|2/231']",Wiley,45
CANADIAN MEDICAL ASSOCIATION JOURNAL,9.4,"MEDICINE, GENERAL & INTERNAL|Q1|13/325","['CANADIAN', 'MEDICAL', 'ASSOCIATION', 'JOURNAL', 'MEDICINE', 'GENERAL', 'INTERNAL|Q1|13/325']",Canadian Medical Association,14
INTERNATIONAL JOURNAL OF PLASTICITY,9.4,MECHANICS|Q1|4/170,"['INTERNATIONAL', 'JOURNAL', 'PLASTICITY', 'MECHANICS|Q1|4/170']",Elsevier,30
Journal of Rock Mechanics and Geotechnical Engineering,9.4,"ENGINEERING, GEOLOGICAL|Q1|1/63","['Journal', 'Rock', 'Mechanics', 'Geotechnical', 'Engineering', 'ENGINEERING', 'GEOLOGICAL|Q1|1/63']",Elsevier,30
IEEE Transactions on Cybernetics,9.4,"COMPUTER SCIENCE, CYBERNETICS|Q1|2/32","['IEEE', 'Transactions', 'Cybernetics', 'COMPUTER', 'SCIENCE', 'CYBERNETICS|Q1|2/32']",Ieee,50
Journal of Cachexia Sarcopenia and Muscle,9.4,"MEDICINE, GENERAL & INTERNAL|Q1|13/325","['Journal', 'Cachexia', 'Sarcopenia', 'Muscle', 'MEDICINE', 'GENERAL', 'INTERNAL|Q1|13/325']",Elsevier,28
CCS Chemistry,9.4,"CHEMISTRY, MULTIDISCIPLINARY|Q1|29/230","['CCS', 'Chemistry', 'CHEMISTRY', 'MULTIDISCIPLINARY|Q1|29/230']",Science China Press,15
IEEE Transactions on Robotics,9.4,ROBOTICS|Q1|4/46,"['IEEE', 'Transactions', 'Robotics', 'ROBOTICS|Q1|4/46']",Ieee,60
Plant Communications,9.4,PLANT SCIENCES|Q1|8/265,"['Plant', 'Communications', 'PLANT', 'SCIENCES|Q1|8/265']",Wiley,30
EMBO JOURNAL,9.4,CELL BIOLOGY|Q1|27/205,"['EMBO', 'JOURNAL', 'CELL', 'BIOLOGY|Q1|27/205']",Springer,31
RELIABILITY ENGINEERING & SYSTEM SAFETY,9.4,OPERATIONS RESEARCH & MANAGEMENT SCIENCE|Q1|4/106,"['RELIABILITY', 'ENGINEERING', 'SYSTEM', 'SAFETY', 'OPERATIONS', 'RESEARCH', 'MANAGEMENT', 'SCIENCE|Q1|4/106']",Elsevier,90
Acta Biomaterialia,9.4,"MATERIALS SCIENCE, BIOMATERIALS|Q1|5/53","['Acta', 'Biomaterialia', 'MATERIALS', 'SCIENCE', 'BIOMATERIALS|Q1|5/53']",Acta Materialia,30
CHINESE CHEMICAL LETTERS,9.4,"CHEMISTRY, MULTIDISCIPLINARY|Q1|29/230","['CHINESE', 'CHEMICAL', 'LETTERS', 'CHEMISTRY', 'MULTIDISCIPLINARY|Q1|29/230']",Elsevier,15
Experimental Hematology & Oncology,9.4,ONCOLOGY|Q1|32/322,"['Experimental', 'Hematology', 'Oncology', 'ONCOLOGY|Q1|32/322']",Biomed Central,14
JOURNAL OF COLLOID AND INTERFACE SCIENCE,9.4,"CHEMISTRY, PHYSICAL|Q1|32/178","['JOURNAL', 'COLLOID', 'INTERFACE', 'SCIENCE', 'CHEMISTRY', 'PHYSICAL|Q1|32/178']",Elsevier,17
npj Computational Materials,9.4,"MATERIALS SCIENCE, MULTIDISCIPLINARY|Q1|59/438","['npj', 'Computational', 'Materials', 'MATERIALS', 'SCIENCE', 'MULTIDISCIPLINARY|Q1|59/438']",Springer,34
Wiley Interdisciplinary Reviews-Climate Change,9.4,METEOROLOGY & ATMOSPHERIC SCIENCES|Q1|3/110,"['Wiley', 'Interdisciplinary', 'Reviews-Climate', 'Change', 'METEOROLOGY', 'ATMOSPHERIC', 'SCIENCES|Q1|3/110']",Wiley,53
ACTA NEUROPATHOLOGICA,9.3,PATHOLOGY|Q1|3/88,"['ACTA', 'NEUROPATHOLOGICA', 'PATHOLOGY|Q1|3/88']",Springer,14
PRX Quantum,9.3,QUANTUM SCIENCE & TECHNOLOGY|Q1|1/26,"['PRX', 'Quantum', 'QUANTUM', 'SCIENCE', 'TECHNOLOGY|Q1|1/26']",American Physical Society,45
SPORTS MEDICINE,9.3,SPORT SCIENCES|Q1|3/127,"['SPORTS', 'MEDICINE', 'SPORT', 'SCIENCES|Q1|3/127']",Springer,21
JOURNAL OF MANAGEMENT,9.3,"PSYCHOLOGY, APPLIED|Q1|4/113","['JOURNAL', 'MANAGEMENT', 'PSYCHOLOGY', 'APPLIED|Q1|4/113']",Sage Publications,45
Energy Policy,9.3,ENVIRONMENTAL STUDIES|Q1|11/182,"['Energy', 'Policy', 'ENVIRONMENTAL', 'STUDIES|Q1|11/182']",Elsevier,4
Journal of Integrative Plant Biology,9.3,PLANT SCIENCES|Q1|9/265,"['Journal', 'Integrative', 'Plant', 'Biology', 'PLANT', 'SCIENCES|Q1|9/265']",Oxford University Press,30
Journal of Neuroinflammation,9.3,NEUROSCIENCES|Q1|17/310,"['Journal', 'Neuroinflammation', 'NEUROSCIENCES|Q1|17/310']",Biomed Central,45
Current Climate Change Reports,9.3,METEOROLOGY & ATMOSPHERIC SCIENCES|Q1|4/110,"['Current', 'Climate', 'Change', 'Reports', 'METEOROLOGY', 'ATMOSPHERIC', 'SCIENCES|Q1|4/110']",Springer,30
GREEN CHEMISTRY,9.3,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY|Q1|14/91,"['GREEN', 'CHEMISTRY', 'GREEN', 'SUSTAINABLE', 'SCIENCE', 'TECHNOLOGY|Q1|14/91']",Royal Society Of Chemistry,30
CYTOKINE & GROWTH FACTOR REVIEWS,9.3,CELL BIOLOGY|Q1|28/205,"['CYTOKINE', 'GROWTH', 'FACTOR', 'REVIEWS', 'CELL', 'BIOLOGY|Q1|28/205']",Elsevier,45
Current Opinion in Green and Sustainable Chemistry,9.3,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY|Q1|14/91,"['Current', 'Opinion', 'Green', 'Sustainable', 'Chemistry', 'GREEN', 'SUSTAINABLE', 'SCIENCE', 'TECHNOLOGY|Q1|14/91']",Elsevier,14
Journal of Educational Evaluation for Health Professions,9.3,"EDUCATION, SCIENTIFIC DISCIPLINES|Q1|1/85","['Journal', 'Educational', 'Evaluation', 'Health', 'Professions', 'EDUCATION', 'SCIENTIFIC', 'DISCIPLINES|Q1|1/85']",Association Of Medical Education In Europe,14
CATALYSIS REVIEWS-SCIENCE AND ENGINEERING,9.3,"CHEMISTRY, PHYSICAL|Q1|34/178","['CATALYSIS', 'REVIEWS-SCIENCE', 'ENGINEERING', 'CHEMISTRY', 'PHYSICAL|Q1|34/178']",Taylor & Francis,30
JOURNAL OF THE AMERICAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY,9.2,"PSYCHOLOGY, DEVELOPMENTAL|Q1|3/91","['JOURNAL', 'AMERICAN', 'ACADEMY', 'CHILD', 'ADOLESCENT', 'PSYCHIATRY', 'PSYCHOLOGY', 'DEVELOPMENTAL|Q1|3/91']",American Psychiatric Association Publishing,30
ANGIOGENESIS,9.2,PERIPHERAL VASCULAR DISEASE|Q1|3/96,"['ANGIOGENESIS', 'PERIPHERAL', 'VASCULAR', 'DISEASE|Q1|3/96']",Springer,30
CELLULAR & MOLECULAR BIOLOGY LETTERS,9.2,CELL BIOLOGY|Q1|29/205,"['CELLULAR', 'MOLECULAR', 'BIOLOGY', 'LETTERS', 'CELL', 'BIOLOGY|Q1|29/205']",Springer,30
AUTOIMMUNITY REVIEWS,9.2,IMMUNOLOGY|Q1|14/181,"['AUTOIMMUNITY', 'REVIEWS', 'IMMUNOLOGY|Q1|14/181']",Elsevier,25
ANESTHESIOLOGY,9.1,ANESTHESIOLOGY|Q1|1/64,"['ANESTHESIOLOGY', 'ANESTHESIOLOGY|Q1|1/64']",Lippincott Williams & Wilkins,14
JOURNAL OF NUCLEAR MEDICINE,9.1,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING|Q1|6/204","['JOURNAL', 'NUCLEAR', 'MEDICINE', 'RADIOLOGY', 'NUCLEAR', 'MEDICINE', 'MEDICAL', 'IMAGING|Q1|6/204']",Society Of Nuclear Medicine And Molecular Imaging,30
BRITISH JOURNAL OF ANAESTHESIA,9.1,ANESTHESIOLOGY|Q1|1/64,"['BRITISH', 'JOURNAL', 'ANAESTHESIA', 'ANESTHESIOLOGY|Q1|1/64']",Oxford University Press,14
International Journal of Contemporary Hospitality Management,9.1,MANAGEMENT|Q1|16/401,"['International', 'Journal', 'Contemporary', 'Hospitality', 'Management', 'MANAGEMENT|Q1|16/401']",Emerald,35
LEADERSHIP QUARTERLY,9.1,"PSYCHOLOGY, APPLIED|Q1|5/113","['LEADERSHIP', 'QUARTERLY', 'PSYCHOLOGY', 'APPLIED|Q1|5/113']",Elsevier,45
PHARMACOLOGICAL RESEARCH,9.1,PHARMACOLOGY & PHARMACY|Q1|13/354,"['PHARMACOLOGICAL', 'RESEARCH', 'PHARMACOLOGY', 'PHARMACY|Q1|13/354']",Elsevier,24
ROBOTICS AND COMPUTER-INTEGRATED MANUFACTURING,9.1,ROBOTICS|Q1|5/46,"['ROBOTICS', 'COMPUTER-INTEGRATED', 'MANUFACTURING', 'ROBOTICS|Q1|5/46']",Elsevier,45
npj Urban Sustainability,9.1,URBAN STUDIES|Q1|1/77,"['npj', 'Urban', 'Sustainability', 'URBAN', 'STUDIES|Q1|1/77']",Springer,45
CANCER LETTERS,9.1,ONCOLOGY|Q1|33/322,"['CANCER', 'LETTERS', 'ONCOLOGY|Q1|33/322']",Elsevier,32
Circulation-Arrhythmia and Electrophysiology,9.1,CARDIAC & CARDIOVASCULAR SYSTEMS|Q1|14/220,"['Circulation-Arrhythmia', 'Electrophysiology', 'CARDIAC', 'CARDIOVASCULAR', 'SYSTEMS|Q1|14/220']",Lippincott Williams & Wilkins,23
JOURNAL OF TRAVEL MEDICINE,9.1,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH|Q1|13/403","['JOURNAL', 'TRAVEL', 'MEDICINE', 'PUBLIC', 'ENVIRONMENTAL', 'OCCUPATIONAL', 'HEALTH|Q1|13/403']",Oxford University Press,20
npj 2D Materials and Applications,9.1,"PHYSICS, APPLIED|Q1|21/179","['npj', '2D', 'Materials', 'Applications', 'PHYSICS', 'APPLIED|Q1|21/179']",Springer,45
Annual Review of Nuclear and Particle Science,9.1,"PHYSICS, PARTICLES & FIELDS|Q1|3/30","['Annual', 'Review', 'Nuclear', 'Particle', 'Science', 'PHYSICS', 'PARTICLES', 'FIELDS|Q1|3/30']",Annual Reviews,30
AMERICAN JOURNAL OF HYPERTENSION,3.2,PERIPHERAL VASCULAR DISEASE|Q2|26/96,"['AMERICAN', 'JOURNAL', 'HYPERTENSION', 'PERIPHERAL', 'VASCULAR', 'DISEASE|Q2|26/96']",Elsevier,14
AUTONOMIC NEUROSCIENCE-BASIC & CLINICAL,3.2,NEUROSCIENCES|Q2|128/310,"['AUTONOMIC', 'NEUROSCIENCE-BASIC', 'CLINICAL', 'NEUROSCIENCES|Q2|128/310']",Elsevier,32
DIABETIC MEDICINE,3.2,ENDOCRINOLOGY & METABOLISM|Q2|81/186,"['DIABETIC', 'MEDICINE', 'ENDOCRINOLOGY', 'METABOLISM|Q2|81/186']",Wiley,30
JCO Global Oncology,3.2,ONCOLOGY|Q2|129/322,"['JCO', 'Global', 'Oncology', 'ONCOLOGY|Q2|129/322']",American Society Of Clinical Oncology,30
